Time since last connection,Duration of connection,Protocol,Total Bytes Transferred,Fraction of Bytes Downloaded
9863.435159,0.4266,http,1482,0.42780027
1259.336733,63.1782,http,4296,0.614292365
0.225122,62.9531,http,3999,0.593148287
0.000151,62.9529,http,15321,0.883754324
2.340644,60.6121,https,11406,0.782745923
0.227569,75.3851,https,5240,0.528435115
0.000136,75.385,https,6137,0.511324752
191.509137,78.8816,https,6746,0.533204862
1000.66966,74.7058,http,9274,0.591654087
0.392797,74.3092,http,25389,0.89369412
14.529597,74.8004,https,13094,0.783106766
6.698947,68.0982,https,5932,0.571982468
0.004373,83.1073,https,6664,0.539765906
1726.42536,0.1831,http,945,0.534391534
6889.483404,0.1982,https,5950,0.899495798
2519.033856,67.9063,http,6523,0.59957075
0.256523,67.6498,http,3959,0.583480677
0.000112,67.6497,http,15457,0.876237303
2.53206,65.1176,https,15548,0.723437098
0.280913,94.833,https,7620,0.494225722
491.4353,0.1568,http,1449,0.563146998
0.627791,0.1601,http,1429,0.564030791
2978.607006,30.8714,https,9783,0.804967801
0.285559,30.5856,https,4144,0.656611969
0.000792,30.5848,https,3680,0.608967391
252.037557,68.4281,http,5710,0.573204904
0.334798,68.0933,http,3881,0.594176759
5.8E-05,68.0933,http,14037,0.924129087
2.161476,80.9302,https,15845,0.702619123
0.461565,65.4702,https,5706,0.569400631
68.386787,0.3058,http,5125,0.908878049
0.309536,0.1867,http,5071,0.918556498
0.191962,60.2479,http,1751,0.73329526
0.18817,5650.735,http,3701031811,0.983115599
627.693051,56.3681,http,2965,0.663406408
0.332456,56.0384,http,4607,0.653353592
0.011569,56.0246,http,15127,0.891782905
1023.040612,85.3237,https,12106,0.712208822
1930.784906,0.5321,http,1122,0.515151515
479.91158,78.6359,https,12077,0.730065414
6523.45168,0.166,https,5950,0.899495798
1562.984649,0.6682,http,3025,0.681652893
6430.697637,95.1307,http,2249,0.528679413
1634.671878,69.1274,http,8645,0.63377675
0.27961,68.8482,http,15963,0.884044353
4.412655,79.4238,https,16111,0.71752219
0.527913,63.9054,https,10893,0.772881667
4373.866448,8.4168,http,1272,0.477201258
12391.96988,0.1754,https,5950,0.899495798
504.544779,0.1091,https,5950,0.899495798
6823.631897,0.6974,http,4326,0.841423948
559.522365,0.9031,http,2440,0.790163934
7373.981885,0.298,http,1094,0.57952468
1569.456432,0.4778,https,8068,0.92588002
1538.681033,0.5235,http,1162,0.664371773
13044.30368,0.2297,http,1267,0.500394633
7727.803335,67.3119,http,4189,0.630938171
234.785139,7.4538,https,12560,0.708757962
443.824134,30.6771,http,31867838,0.980856656
589.404773,0.157,http,1013,0.513326752
200.160996,67.2873,http,6521,0.647600061
0.425674,66.8634,http,15251,0.888072913
2.43323,7.7928,https,18074,0.697355317
0.651465,13.8716,https,612,0.411764706
173.524373,0.3106,http,9659,0.952893674
0.310698,0.2462,http,9659,0.952893674
0.246095,5359.5365,http,3233209312,0.984367762
1519.819172,64.2574,http,7305,0.672279261
0.438355,63.82,http,15235,0.889005579
2.193269,111.6191,https,16766,0.754980317
0.6277,7.0041,https,7899,0.555766553
603.77143,0.1849,https,5950,0.899495798
1444.1694,0.1975,https,5950,0.899495798
3097.53123,62.0003,http,7224,0.679817276
0.351924,61.6502,http,15181,0.892167841
65.79661,65.8539,https,11941,0.787454987
0.473409,12.3624,https,7851,0.559164438
6132.703573,0.56,http,1122,0.515151515
6373.341832,0.1403,https,5950,0.899495798
5002.477765,30.3956,http,4137,0.625815809
2.55473,7.0029,https,12508,0.707387272
442.998313,74.6764,http,4386,0.602599179
0.262076,74.4143,http,5362,0.549048862
0.000149,74.4142,http,15519,0.872736645
28.933764,67.4323,http,4191,0.630637079
3.845809,6.804,https,12508,0.707387272
1445.575086,0.5273,https,9316,0.793366252
0.551064,0.1647,https,3432,0.606060606
0.182009,0.1627,https,3896,0.652977413
0.214519,0.1401,https,2226,0.478885894
2.85515,1.495,https,3054,0.307465619
509.718046,121.172,http,2411,0.547905433
3157.723833,0.1362,http,1174,0.540034072
15535.07887,0.0773,https,5950,0.899495798
127.582007,0.2246,https,5950,0.899495798
9481.713934,0.1374,http,1013,0.513326752
153.345738,60.3043,http,1295,0.575289575
5297.03655,71.7002,http,18374,0.834494394
0.260552,71.4395,http,4044,0.573194857
1992.602436,0.1331,https,5950,0.899495798
7073.566199,1.2939,http,2494,0.773055333
2954.807549,0.4026,http,1062,0.516949153
12193.47687,63.4993,http,6970,0.613629842
0.546572,62.9419,http,15337,0.883093173
0.821168,60.0666,http,1428,0.519607843
3.50369,0.4227,https,9239,0.799328932
0.464308,0.0195,https,3452,0.59820394
0.000942,0.0854,https,3933,0.647597254
0.589213,0.0217,https,2200,0.484545455
7.540812,2.1485,https,3028,0.312417437
4349.589573,0.249,https,5950,0.899495798
272.081619,0.1573,https,6016,0.88962766
8087.738951,0.0424,http,334,0.383233533
2665.156364,0.4904,http,1122,0.515151515
5015.326968,0.6459,http,2630,0.768821293
633.548886,0.131,https,5950,0.899495798
3213.059544,8.9921,http,1272,0.477201258
4634.500313,121.2586,http,2411,0.547905433
3648.418089,0.1393,http,1174,0.540034072
106.643723,0.1619,http,945,0.534391534
1105.880473,6.9325,https,10704,0.77569133
0.523877,6.4089,https,8027,0.818861343
0.000114,6.4088,https,8491,0.830644212
6640.812088,62.7381,http,20149,0.844359522
0.453942,62.2841,http,1781,0.483997754
0.012601,12.3078,http,588,0.520408163
2.337375,5.7761,https,17794,0.698550073
0.498352,19.4839,https,642,0.476635514
112.143979,878.6959,http,268131095,0.983124318
935.766757,67.5972,http,4279,0.617667679
2.392903,6.4905,https,12392,0.704325371
5619.978313,0.1219,https,5950,0.899495798
1029.527671,0.2266,https,5950,0.899495798
8592.359327,62.6528,http,5810,0.55404475
0.251708,11.0829,http,16233,0.889053163
11.08235,0.2702,https,9154,0.802381473
0.261781,0.0091,https,3337,0.606832484
0.010916,0.0083,https,3818,0.656626506
0.018358,0.0113,https,2139,0.479663394
9.127519,1.4865,https,2973,0.303060881
7497.838276,0.4968,https,7542,0.910368602
2787.667776,60.424,http,7529,0.636339487
0.288832,60.0341,http,14684,0.928766004
0.268163,45.7547,http,3789,0.645025073
0.000554,45.7549,http,15243,0.894968182
2.682222,43.0456,https,11542,0.789118004
0.285872,42.7609,https,5082,0.566115702
0.000584,42.7648,https,6189,0.539020843
2720.964685,9.1821,http,1272,0.477201258
738.736942,0.3449,http,3472,0.585829493
0.482934,59.5053,http,1598,0.491864831
3.858573,79.5053,https,11271,0.757962914
2185.000241,0.1952,http,945,0.534391534
173.49587,0.3034,http,1094,0.57952468
2089.043554,0.3388,http,2844,0.687763713
0.468944,59.7523,http,1598,0.491864831
1.837542,9.1783,https,10349,0.739781621
5041.699148,0.3555,http,2791,0.700824077
0.498166,59.8016,http,1602,0.490636704
3.756085,70.0056,https,14661,0.77470841
0.705149,69.3057,https,5665,0.502030009
798.644765,0.1382,https,5950,0.899495798
1010.893466,0.222,https,5950,0.899495798
4947.648111,60.3556,http,7107,0.683410722
0.269761,60.2475,http,15067,0.895334174
0.006676,94.7951,http,846,0.468085106
2.51784,60.4156,https,11763,0.794780243
0.34791,12.3171,https,7857,0.565610284
0.000798,93.6026,https,846,0.468085106
7973.663204,0.5026,http,1122,0.515151515
3036.242148,0.2686,https,6016,0.88962766
3346.333787,0.3873,http,2535,0.771597633
6745.228477,63.2525,http,18042,0.881554151
0.371903,9.5012,http,3524,0.658910329
8.381606,1.0736,https,9096,0.812554969
1.070071,0.1626,https,3254,0.639213276
0.000141,0.1625,https,3718,0.684238838
0.179834,0.1474,https,1994,0.534603811
6.015661,1.6025,https,2774,0.33850036
2307.925625,0.1817,http,945,0.534391534
11032.65602,0.1426,http,1174,0.540034072
1700.307632,121.1341,http,2411,0.547905433
1147.296463,0.1671,https,5950,0.899495798
719.205347,0.1099,https,5950,0.899495798
16218.48062,0.4138,https,7542,0.910368602
4947.999792,0.8341,http,2440,0.790163934
10989.97489,8.5105,http,1272,0.477201258
905.173006,72.4596,http,3077,0.655508612
0.254036,72.2055,http,4073,0.582371716
0.000142,72.206,http,15419,0.878137363
2.106999,70.0987,https,11582,0.775513728
0.27214,69.8265,https,5741,0.462985543
0.000385,69.8265,https,4363,0.601650241
365.404964,64.4382,http,4370,0.60389016
1.545415,77.8929,https,13469,0.690474423
3651.578005,63.5131,http,3048,0.663057743
0.260456,63.2527,http,5056,0.582278481
0.001093,63.2516,http,14094,0.920675465
1.987091,61.2648,https,9273,0.821956217
0.273947,5.5594,https,6591,0.493096647
0.000809,60.9901,https,3934,0.667768175
5102.388214,63.2344,http,7805,0.620243434
0.407325,62.8275,http,14119,0.918761952
2.229036,60.6256,https,13989,0.759167918
0.584455,75.0175,https,6093,0.515017233
109.357697,0.1777,https,5950,0.899495798
79.896972,0.3205,http,5031,0.921089247
0.322663,0.1884,http,5031,0.921089247
0.190568,22396.241,http,1793495780,0.979071754
266.479036,0.203,https,5950,0.899495798
13604.55602,0.4944,http,1122,0.515151515
3176.222022,0.4366,https,7542,0.910368602
36.083289,61.7064,http,6752,0.642624408
0.29346,61.4129,http,17012,0.843757348
17157.85813,0.1322,http,1174,0.540034072
7793.636253,121.138,http,2411,0.547905433
1142.814843,0.1767,https,6016,0.88962766
613.75794,0.1309,https,280,0.264285714
607.665989,0.2062,https,5950,0.899495798
788.194395,4.6775,https,6621,0.842772995
405.655865,0.1668,http,945,0.534391534
1642.41273,0.1365,http,945,0.534391534
8766.030924,0.2383,http,5031,0.921089247
0.241846,0.3729,http,5031,0.921089247
0.376134,0.1381,http,7822,0.917156737
0.142381,10017.8261,http,796413371,0.979109399
4227.736595,0.3929,https,7542,0.910368602
3243.360802,0.3854,http,2569,0.761385753
3411.554414,65.897,http,6580,0.631155015
0.313879,65.5832,http,15541,0.875490638
2.225344,63.3575,https,11582,0.775513728
0.272986,78.0846,https,5741,0.462985543
0.012024,63.0726,https,4363,0.601650241
1261.386774,71.475,http,3139,0.66932144
0.263189,71.2118,http,4221,0.594645819
0.000781,71.211,http,14520,0.904132231
2.919631,68.291,https,12547,0.723280465
0.274848,68.0163,https,2934,0.312201772
4417.788946,0.1734,http,945,0.534391534
10383.99104,1.1465,http,2428,0.798187809
